unit,area_sq_m,class,projection,year,count,fractional_land_area
"Land Between the Lakes Wildlife Management Area, TN",1083938735,cropland,B1,2070,5,0.0002883
"Land Between the Lakes Wildlife Management Area, TN",1083938735,cropland,B1,2080,5,0.0002883
"Land Between the Lakes Wildlife Management Area, TN",1083938735,cropland,B1,2090,5,0.0002883
"Land Between the Lakes Wildlife Management Area, TN",1083938735,cropland,B1,2100,5,0.0002883
"Land Between the Lakes Wildlife Management Area, TN",1083938735,cropland,B2,2050,1,5.76601E-05
"Land Between the Lakes Wildlife Management Area, TN",1083938735,cropland,B2,2060,1,5.76601E-05
"Land Between the Lakes Wildlife Management Area, TN",1083938735,cropland,B2,2070,1,5.76601E-05
"Land Between the Lakes Wildlife Management Area, TN",1083938735,cropland,B2,2080,1,5.76601E-05
"Land Between the Lakes Wildlife Management Area, TN",1083938735,cropland,B2,2090,1,5.76601E-05
"Land Between the Lakes Wildlife Management Area, TN",1083938735,cropland,B2,2100,1,5.76601E-05
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,historical,2005,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A1B,2050,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A1B,2060,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A1B,2070,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A1B,2080,1,5.76601E-05
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A1B,2090,3,0.00017298
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A1B,2100,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A2,2050,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A2,2060,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A2,2070,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A2,2080,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A2,2090,4,0.00023064
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,A2,2100,8,0.000461281
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B1,2050,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B1,2060,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B1,2070,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B1,2080,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B1,2090,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B1,2100,2,0.00011532
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B2,2050,0,0
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B2,2060,0,0
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B2,2070,0,0
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B2,2080,0,0
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B2,2090,0,0
"Land Between the Lakes Wildlife Management Area, TN",1083938735,hay/pasture,B2,2100,0,0
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,historical,2005,869,0.050106614
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A1B,2050,856,0.049357033
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A1B,2060,836,0.048203831
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A1B,2070,836,0.048203831
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A1B,2080,848,0.048895752
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A1B,2090,844,0.048665112
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A1B,2100,841,0.048492132
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A2,2050,859,0.049530013
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A2,2060,856,0.049357033
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A2,2070,853,0.049184053
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A2,2080,852,0.049126393
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A2,2090,864,0.049818314
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,A2,2100,845,0.048722772
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B1,2050,877,0.050567895
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B1,2060,877,0.050567895
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B1,2070,879,0.050683215
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B1,2080,879,0.050683215
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B1,2090,878,0.050625555
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B1,2100,875,0.050452575
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B2,2050,876,0.050510235
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B2,2060,875,0.050452575
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B2,2070,877,0.050567895
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B2,2080,879,0.050683215
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B2,2090,880,0.050740875
"Land Between the Lakes Wildlife Management Area, TN",1083938735,natural,B2,2100,880,0.050740875
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,historical,2005,435,0.019379294
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A1B,2050,421,0.018755593
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A1B,2060,423,0.018844693
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A1B,2070,423,0.018844693
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A1B,2080,427,0.019022894
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A1B,2090,432,0.019245644
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A1B,2100,436,0.019423844
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A2,2050,421,0.018755593
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A2,2060,420,0.018711043
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A2,2070,426,0.018978343
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A2,2080,432,0.019245644
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A2,2090,434,0.019334744
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,A2,2100,436,0.019423844
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B1,2050,435,0.019379294
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B1,2060,436,0.019423844
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B1,2070,434,0.019334744
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B1,2080,433,0.019290194
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B1,2090,432,0.019245644
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B1,2100,433,0.019290194
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B2,2050,435,0.019379294
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B2,2060,434,0.019334744
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B2,2070,435,0.019379294
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B2,2080,435,0.019379294
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B2,2090,436,0.019423844
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,other,B2,2100,435,0.019379294
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,historical,2005,157,0.006994366
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A1B,2050,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A1B,2060,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A1B,2070,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A1B,2080,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A1B,2090,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A1B,2100,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A2,2050,159,0.007083466
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A2,2060,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A2,2070,161,0.007172566
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A2,2080,162,0.007217117
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A2,2090,162,0.007217117
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,A2,2100,162,0.007217117
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B1,2050,159,0.007083466
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B1,2060,159,0.007083466
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B1,2070,159,0.007083466
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B1,2080,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B1,2090,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B1,2100,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B2,2050,159,0.007083466
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B2,2060,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B2,2070,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B2,2080,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B2,2090,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,water,B2,2100,160,0.007128016
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,historical,2005,52,0.002316605
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A1B,2050,79,0.003519458
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A1B,2060,84,0.003742209
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A1B,2070,84,0.003742209
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A1B,2080,93,0.004143159
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A1B,2090,97,0.00432136
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A1B,2100,99,0.00441046
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A2,2050,85,0.003786759
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A2,2060,85,0.003786759
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A2,2070,89,0.003964959
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A2,2080,98,0.00436591
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A2,2090,109,0.004855961
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,A2,2100,119,0.005301462
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B1,2050,63,0.002806656
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B1,2060,67,0.002984857
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B1,2070,71,0.003163057
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B1,2080,72,0.003207607
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B1,2090,74,0.003296708
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B1,2100,77,0.003430358
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B2,2050,67,0.002984857
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B2,2060,67,0.002984857
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B2,2070,67,0.002984857
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B2,2080,69,0.003073957
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B2,2090,71,0.003163057
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,developed,B2,2100,71,0.003163057
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,historical,2005,67,0.002984857
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A1B,2050,46,0.002049305
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A1B,2060,43,0.001915654
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A1B,2070,43,0.001915654
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A1B,2080,48,0.002138405
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A1B,2090,47,0.002093855
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A1B,2100,50,0.002227505
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A2,2050,61,0.002717556
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A2,2060,56,0.002494806
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A2,2070,55,0.002450256
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A2,2080,51,0.002272055
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A2,2090,50,0.002227505
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,A2,2100,43,0.001915654
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B1,2050,48,0.002138405
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B1,2060,50,0.002227505
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B1,2070,51,0.002272055
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B1,2080,50,0.002227505
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B1,2090,45,0.002004755
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B1,2100,44,0.001960204
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B2,2050,53,0.002361155
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B2,2060,52,0.002316605
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B2,2070,53,0.002361155
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B2,2080,56,0.002494806
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B2,2090,55,0.002450256
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,cropland,B2,2100,57,0.002539356
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,historical,2005,82,0.003653108
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A1B,2050,69,0.003073957
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A1B,2060,70,0.003118507
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A1B,2070,70,0.003118507
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A1B,2080,60,0.002673006
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A1B,2090,57,0.002539356
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A1B,2100,56,0.002494806
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A2,2050,73,0.003252157
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A2,2060,69,0.003073957
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A2,2070,64,0.002851207
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A2,2080,60,0.002673006
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A2,2090,62,0.002762106
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,A2,2100,61,0.002717556
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B1,2050,70,0.003118507
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B1,2060,67,0.002984857
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B1,2070,64,0.002851207
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B1,2080,63,0.002806656
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B1,2090,59,0.002628456
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B1,2100,60,0.002673006
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B2,2050,70,0.003118507
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B2,2060,69,0.003073957
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B2,2070,67,0.002984857
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B2,2080,64,0.002851207
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B2,2090,64,0.002851207
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,hay/pasture,B2,2100,63,0.002806656
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,historical,2005,604,0.026908262
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A1B,2050,622,0.027710163
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A1B,2060,617,0.027487413
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A1B,2070,617,0.027487413
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A1B,2080,609,0.027131012
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A1B,2090,604,0.026908262
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A1B,2100,596,0.026551861
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A2,2050,598,0.026640961
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A2,2060,607,0.027041912
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A2,2070,602,0.026819161
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A2,2080,594,0.026462761
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A2,2090,580,0.025839059
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,A2,2100,576,0.025660859
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B1,2050,622,0.027710163
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B1,2060,618,0.027531963
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B1,2070,618,0.027531963
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B1,2080,619,0.027576513
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B1,2090,627,0.027932914
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B1,2100,623,0.027754714
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B2,2050,613,0.027309213
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B2,2060,615,0.027398313
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B2,2070,615,0.027398313
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B2,2080,613,0.027309213
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B2,2090,611,0.027220112
"Rookery Bay National Estuarine Research Reserve, FL",1402914857,natural,B2,2100,611,0.027220112