class,proj,year,count
Other,Historical,2005,6113
Water,Historical,2005,4117
Developed,Historical,2005,609
Cropland,Historical,2005,4508
Hay/Pasture,Historical,2005,3011
Natural,Historical,2005,30305
Other,A1B,2050,6399
Water,A1B,2050,4130
Developed,A1B,2050,1100
Cropland,A1B,2050,4537
Hay/Pasture,A1B,2050,3034
Natural,A1B,2050,29463
Other,A2,2050,6324
Water,A2,2050,4127
Developed,A2,2050,1159
Cropland,A2,2050,4548
Hay/Pasture,A2,2050,3020
Natural,A2,2050,29485
Other,B1,2050,6290
Water,B1,2050,4129
Developed,B1,2050,854
Cropland,B1,2050,3940
Hay/Pasture,B1,2050,2865
Natural,B1,2050,30585
Other,B2,2050,6360
Water,B2,2050,4129
Developed,B2,2050,803
Cropland,B2,2050,3704
Hay/Pasture,B2,2050,2750
Natural,B2,2050,30917
Other,A1B,2060,6497
Water,A1B,2060,4132
Developed,A1B,2060,1200
Cropland,A1B,2060,4582
Hay/Pasture,A1B,2060,3070
Natural,A1B,2060,29182
Other,A2,2060,6328
Water,A2,2060,4130
Developed,A2,2060,1379
Cropland,A2,2060,4601
Hay/Pasture,A2,2060,3035
Natural,A2,2060,29190
Other,B1,2060,6283
Water,B1,2060,4128
Developed,B1,2060,893
Cropland,B1,2060,3907
Hay/Pasture,B1,2060,2864
Natural,B1,2060,30588
Other,B2,2060,6413
Water,B2,2060,4129
Developed,B2,2060,817
Cropland,B2,2060,3616
Hay/Pasture,B2,2060,2699
Natural,B2,2060,30989
Other,A1B,2070,6589
Water,A1B,2070,4135
Developed,A1B,2070,1330
Cropland,A1B,2070,4600
Hay/Pasture,A1B,2070,3021
Natural,A1B,2070,28988
Other,A2,2070,6374
Water,A2,2070,4141
Developed,A2,2070,1661
Cropland,A2,2070,4751
Hay/Pasture,A2,2070,3043
Natural,A2,2070,28693
Other,B1,2070,6282
Water,B1,2070,4129
Developed,B1,2070,938
Cropland,B1,2070,3895
Hay/Pasture,B1,2070,2839
Natural,B1,2070,30580
Other,B2,2070,6412
Water,B2,2070,4129
Developed,B2,2070,826
Cropland,B2,2070,3527
Hay/Pasture,B2,2070,2672
Natural,B2,2070,31097
Other,A1B,2080,6617
Water,A1B,2080,4131
Developed,A1B,2080,1522
Cropland,A1B,2080,4658
Hay/Pasture,A1B,2080,3035
Natural,A1B,2080,28700
Other,A2,2080,6421
Water,A2,2080,4143
Developed,A2,2080,2027
Cropland,A2,2080,4986
Hay/Pasture,A2,2080,3101
Natural,A2,2080,27985
Other,B1,2080,6338
Water,B1,2080,4130
Developed,B1,2080,985
Cropland,B1,2080,3875
Hay/Pasture,B1,2080,2826
Natural,B1,2080,30509
Other,B2,2080,6408
Water,B2,2080,4131
Developed,B2,2080,831
Cropland,B2,2080,3502
Hay/Pasture,B2,2080,2640
Natural,B2,2080,31151
Other,A1B,2090,6636
Water,A1B,2090,4137
Developed,A1B,2090,1698
Cropland,A1B,2090,4682
Hay/Pasture,A1B,2090,3035
Natural,A1B,2090,28475
Other,A2,2090,6374
Water,A2,2090,4149
Developed,A2,2090,2469
Cropland,A2,2090,5321
Hay/Pasture,A2,2090,3183
Natural,A2,2090,27167
Other,B1,2090,6424
Water,B1,2090,4131
Developed,B1,2090,1046
Cropland,B1,2090,3806
Hay/Pasture,B1,2090,2790
Natural,B1,2090,30466
Other,B2,2090,6434
Water,B2,2090,4130
Developed,B2,2090,846
Cropland,B2,2090,3469
Hay/Pasture,B2,2090,2633
Natural,B2,2090,31151
Other,A1B,2100,6682
Water,A1B,2100,4142
Developed,A1B,2100,1860
Cropland,A1B,2100,4764
Hay/Pasture,A1B,2100,3025
Natural,A1B,2100,28190
Other,A2,2100,6437
Water,A2,2100,4152
Developed,A2,2100,2905
Cropland,A2,2100,5609
Hay/Pasture,A2,2100,3390
Natural,A2,2100,26170
Other,B1,2100,6427
Water,B1,2100,4132
Developed,B1,2100,1085
Cropland,B1,2100,3751
Hay/Pasture,B1,2100,2787
Natural,B1,2100,30481
Other,B2,2100,6452
Water,B2,2100,4131
Developed,B2,2100,854
Cropland,B2,2100,3422
Hay/Pasture,B2,2100,2604
Natural,B2,2100,31200